Value,Disaggregation combinations using this value,Number of indicators
Aguascalientes,15,2
Baja California Sur,6,1
Baja California,10,2
Baja California_Sur,4,1
Campeche,15,2
Chiapas,126,2
Chihuahua,71,2
Ciudad de México,20,2
Coahuila de Zaragoza,42,2
Colima,14,2
Durango,43,2
Estados Unidos Mexicanos,4,2
Guanajuato,50,2
Guerrero,85,2
Hidalgo,88,2
Jalisco,129,2
Michoacán de Ocampo,117,2
Morelos,37,2
México,129,2
Nayarit,24,2
Nuevo León,55,2
Oaxaca,574,2
Puebla,221,2
Querétaro,22,2
Quintana Roo,15,2
San Luis Potosí,62,2
Sinaloa,22,2
Sonora,76,2
Tabasco,21,2
Tamaulipas,47,2
Tlaxcala,64,2
Veracruz de Ignacio de la Llave,216,2
Yucatán,110,2
Zacatecas,62,2
